Quotazioni Fantacalcio,,,
Id,R,Nome,Squadra
507,A,MURIEL,Atalanta
2531,A,LUKAKU,Inter
2610,A,RONALDO,Juventus
531,A,BERARDI,Sassuolo
409,A,INSIGNE,Napoli
2841,A,VLAHOVIC,Fiorentina
608,A,ZAPATA D.,Atalanta
2764,A,MARTINEZ L.,Inter
785,A,IMMOBILE,Lazio
1997,A,SIMY,Crotone
2529,C,MKHITARYAN,Roma
441,A,BELOTTI,Torino
2530,A,IBRAHIMOVIC,Milan
410,A,MERTENS,Napoli
4661,A,OSIMHEN,Napoli
4427,C,MALINOVSKYI,Atalanta
1850,C,KESSIE',Milan
1996,C,DE PAUL,Udinese
1874,A,JOAO PEDRO,Cagliari
4517,A,LOZANO,Napoli
2819,A,CAPUTO,Sassuolo
313,A,MORATA,Juventus
4160,D,HAKIMI,Inter
2002,C,CHIESA,Juventus
152,C,ZIELINSKI,Napoli
2475,A,SANCHEZ,Inter
5233,A,MAYORAL,Roma
2160,D,GOSENS,Atalanta
186,A,REBIC,Milan
568,A,QUAGLIARELLA,Sampdoria
472,A,DESTRO,Genoa
645,C,MILINKOVIC-SAVIC,Lazio
536,C,POLITANO,Napoli
5336,A,NZOLA,Spezia
2085,C,LUIS ALBERTO,Lazio
2215,C,VERETOUT,Roma
177,A,ILICIC,Atalanta
2625,C,SORIANO,Bologna
332,C,CANDREVA,Sampdoria
4292,D,HERNANDEZ T.,Milan
632,C,ZACCAGNI,Verona
4970,A,MESSIAS,Crotone
2195,A,OUNAS,Crotone
215,A,VERDE,Spezia
440,C,VIOLA,Benevento
2194,C,CALHANOGLU,Milan
530,C,PELLEGRINI LO.,Roma
495,A,CORREA,Lazio
4510,A,RAFAEL LEAO,Milan
2137,A,SCAMACCA,Genoa
5311,A,SHOMURODOV,Genoa
302,C,PEREYRA,Udinese
2719,A,BARROW,Bologna
4973,C,MCKENNIE,Juventus
2172,C,BARAK,Verona
2167,A,ORSOLINI,Bologna
245,A,PANDEV,Genoa
2284,A,CAICEDO,Lazio
407,A,GABBIADINI,Sampdoria
345,A,KEITA B.,Sampdoria
798,D,SKRINIAR,Inter
554,D,ZAPPACOSTA,Genoa
788,C,FREULER,Atalanta
2077,C,PASALIC,Atalanta
1870,C,BARELLA,Inter
234,C,KUCKA,Parma
647,A,DZEKO,Roma
453,P,SZCZESNY,Juventus
350,P,DONNARUMMA G.,Milan
697,D,CUADRADO,Juventus
254,D,DIMARCO,Verona
2833,C,KULUSEVSKI,Juventus
1995,C,DJURICIC,Sassuolo
827,C,LOCATELLI,Sassuolo
236,C,LAZOVIC,Verona
383,A,PETAGNA,Napoli
4371,A,RASPADORI,Sassuolo
610,P,GOLLINI,Atalanta
250,P,HANDANOVIC,Inter
4237,D,DANILO,Juventus
4307,D,ROMERO,Atalanta
2788,D,BREMER,Torino
265,C,BROZOVIC,Inter
2556,C,ERIKSEN,Inter
1987,C,JANKTO,Sampdoria
2857,C,TRAORE' HJ.,Sassuolo
5001,C,MIRANCHUK,Atalanta
280,A,PALACIO,Bologna
1939,A,LAPADULA,Benevento
309,A,DYBALA,Juventus
1958,A,CAPRARI,Benevento
761,P,AUDERO,Sampdoria
2525,D,DARMIAN,Inter
2296,D,MANCINI,Roma
581,D,FARAONI,Verona
2180,D,KARSDORP,Roma
2741,C,PESSINA,Atalanta
4377,C,CASTROVILLI,Fiorentina
4423,C,HERNANI,Parma
4988,C,MAGGIORE,Spezia
4825,C,DIAZ B.,Milan
247,A,PAVOLETTI,Cagliari
2832,A,BOGA,Sassuolo
315,A,ZAZA,Torino
509,P,CONSIGLI,Sassuolo
322,D,DE VRIJ,Inter
706,D,ANSALDI,Torino
2744,C,SVANBERG,Bologna
2263,C,LAZZARI,Lazio
4725,C,DEMME,Napoli
5298,C,POBEGA,Spezia
4359,A,PICCOLI,Spezia
2409,A,RIBERY,Fiorentina
4992,A,GYASI,Spezia
4324,A,OKAKA,Udinese
572,P,MERET,Napoli
4428,D,DE LIGT,Juventus
357,D,CALABRIA,Milan
2633,D,KJAER,Milan
1852,D,SPINAZZOLA,Roma
2280,D,NUYTINCK,Udinese
4998,D,MOLINA N.,Udinese
4751,D,TOMORI,Milan
4965,C,MARIN,Cagliari
4514,C,NANDEZ,Cagliari
2472,C,RAMSEY,Juventus
2775,C,RUIZ,Napoli
4978,C,DAMSGAARD,Sampdoria
600,C,VERRE,Sampdoria
4415,A,SKOV OLSEN,Bologna
2061,A,SIMEONE,Cagliari
2489,A,PEDRO,Roma
643,A,DEFREL,Sassuolo
1879,A,FARIAS,Spezia
5322,A,MIHAILA,Parma
479,A,SANABRIA,Torino
2178,P,CRAGNO,Cagliari
1917,P,DRAGOWSKI,Fiorentina
218,P,PERIN,Genoa
2120,D,BASTONI,Inter
662,D,ALEX SANDRO,Juventus
2816,D,DI LORENZO,Napoli
4895,D,YOSHIDA,Sampdoria
226,D,IZZO,Torino
22,C,DE ROON,Atalanta
801,C,GAGLIARDINI,Inter
467,C,NAINGGOLAN,Cagliari
170,C,BADELJ,Genoa
4892,C,SAELEMAEKERS,Milan
4404,C,THORSBY,Sampdoria
1933,C,MANDRAGORA,Torino
367,C,BONAVENTURA,Fiorentina
704,C,PERISIC,Inter
4963,A,INSIGNE R.,Benevento
537,A,SANSONE,Bologna
474,A,GERVINHO,Parma
5394,A,GAICH,Benevento
387,P,REINA,Lazio
2468,P,OSPINA,Napoli
2211,P,SILVESTRI,Verona
787,D,DJIMSITI,Atalanta
2130,D,HATEBOER,Atalanta
74,D,LETIZIA,Benevento
252,D,BIRAGHI,Fiorentina
4421,D,AUGELLO,Sampdoria
1895,D,FERRARI G.,Sassuolo
2379,C,RABIOT,Juventus
2009,C,LUKIC,Torino
2011,C,MIGUEL VELOSO,Verona
5007,C,ILIC,Verona
470,C,STROOTMAN,Genoa
1882,A,SAU,Benevento
1998,A,PJACA,Genoa
795,A,EL SHAARAWY,Roma
133,P,SKORUPSKI,Bologna
2792,P,MUSSO,Udinese
2181,D,PALOMINO,Atalanta
2653,D,LYKOGIANNIS,Cagliari
2164,D,MILENKOVIC,Fiorentina
253,D,D'AMBROSIO,Inter
286,D,BONUCCI,Juventus
513,D,ACERBI,Lazio
4409,D,RRAHMANI,Napoli
770,D,PEZZELLA GIU.,Parma
2784,D,COLLEY,Sampdoria
5332,D,BASTONI S.,Spezia
28,C,KURTIC,Parma
2124,C,ZAJC,Genoa
2414,C,VIDAL,Inter
2290,C,EYSSERIC,Fiorentina
2154,A,VIGNATO,Bologna
4884,A,CARLES PEREZ,Roma
505,A,BONAZZOLI,Torino
1943,A,NESTOROVSKI,Udinese
5393,A,MAN,Parma
5401,A,PELLE',Parma
4,P,SPORTIELLO,Atalanta
2815,P,TERRACCIANO,Fiorentina
4419,P,PAU LOPEZ,Roma
2739,D,RECA,Crotone
695,D,TOLOI,Atalanta
4422,D,TOMIYASU,Bologna
2759,D,CRISCITO,Genoa
2572,D,GODIN,Cagliari
392,D,KOULIBALY,Napoli
4899,D,SINGO,Torino
2315,D,STRYGER LARSEN,Udinese
4886,C,PEREIRO,Cagliari
1851,C,MOLINA S.,Crotone
181,C,VECINO,Inter
2166,C,BENTANCUR,Juventus
4479,C,ELMAS,Napoli
2766,C,ZANIOLO,Roma
2287,C,RAMIREZ,Sampdoria
4990,C,RICCI M.,Spezia
238,C,RINCON,Torino
376,C,VERDI,Torino
4890,C,TAMEZE,Verona
5287,C,ARSLAN,Udinese
2639,C,BAKAYOKO,Napoli
4681,C,LOPEZ M.,Sassuolo
90,A,LASAGNA,Verona
5004,A,FORESTIERI,Udinese
2304,A,SALCEDO E.,Verona
2826,A,PUSSETTO,Udinese
282,P,BUFFON,Juventus
1934,P,STRAKOSHA,Lazio
2707,D,YOUNG,Inter
329,D,RADU,Lazio
140,D,HYSAJ,Napoli
459,D,MANOLAS,Napoli
2214,D,KOLAROV,Inter
2104,D,BERESZYNSKI,Sampdoria
4521,D,MULDUR,Sassuolo
4982,D,ERLIC,Spezia
4994,D,VOJVODA,Torino
4412,D,RODRIGO BECAO,Udinese
790,D,SAMIR,Udinese
2758,D,GUNTER,Verona
4461,D,ZAPPA,Cagliari
2192,D,BONIFAZI,Udinese
4242,D,DALOT,Milan
5375,D,MAEHLE,Atalanta
4891,D,SOUMAORO,Bologna
115,C,HETEMAJ,Benevento
4393,C,SCHOUTEN,Bologna
4515,C,AGUDELO,Spezia
644,C,PULGAR,Fiorentina
150,C,SAPONARA,Spezia
4285,C,ARTHUR,Juventus
2188,C,MARUSIC,Lazio
430,C,BRUGMAN,Parma
2391,C,EKDAL,Sampdoria
2789,C,MEITE',Milan
2392,C,WALACE,Udinese
5292,A,LAMMERS,Atalanta
312,A,MANDZUKIC,Milan
2814,P,PROVEDEL,Spezia
4958,D,CALDIROLA,Benevento
287,D,CACERES,Fiorentina
2309,D,PEZZELLA GER.,Fiorentina
244,D,GHIGLIONE,Genoa
261,D,RANOCCHIA,Inter
288,D,CHIELLINI,Juventus
294,D,RUGANI,Cagliari
460,D,ROMAGNOLI,Milan
546,D,BRUNO PERES,Roma
640,D,CHIRICHES,Sassuolo
4426,D,TOLJAN,Sassuolo
5010,D,ISMAJLI,Spezia
487,D,DE SILVESTRI,Bologna
729,D,PEREIRA P.,Crotone
627,C,IONITA,Benevento
2316,C,ZANELLATO,Crotone
2839,C,SOTTIL,Cagliari
2692,C,CASTILLEJO,Milan
148,C,KRUNIC,Milan
779,C,CRISTANTE,Roma
4885,C,VILLAR,Roma
5290,C,ESTEVEZ,Spezia
5312,C,LEO' SENA,Spezia
4249,C,PEREIRA A.,Lazio
2703,C,ADRIEN SILVA,Sampdoria
264,C,BESSA,Verona
2038,A,PINAMONTI,Inter
2163,A,CORNELIUS,Parma
2325,A,KARAMOH,Parma
475,A,IAGO FALQUE,Benevento
4453,A,TORREGROSSA,Sampdoria
4964,P,VICARIO,Cagliari
548,D,GLIK,Benevento
1891,D,CECCHERINI,Verona
142,D,MARIO RUI,Napoli
73,D,GAGLIOLO,Parma
144,D,TONELLI,Sampdoria
4530,D,KYRIAKOPOULOS,Sassuolo
2769,D,MAGNANI,Verona
2252,D,MARCHIZZA,Spezia
2318,D,ROGERIO,Sassuolo
2869,D,DJIDJI,Crotone
4323,D,ZEEGELAAR,Udinese
4493,D,DAWIDOWICZ,Verona
5323,D,MARTINEZ QUARTA,Fiorentina
4869,C,DOMINGUEZ,Bologna
4522,C,AMRABAT,Fiorentina
2302,C,BEHRAMI,Genoa
1978,C,SENSI,Inter
2209,C,LUCAS LEIVA,Lazio
338,C,LULIC,Lazio
2818,C,BENNACER,Milan
5002,C,VULIC,Crotone
20,C,CIGARINI,Crotone
5286,C,AKPA AKPRO,Lazio
5317,C,BRUNETTA,Parma
4459,C,ROVELLA,Genoa
4435,A,COLLEY E.,Verona
306,A,CERRI,Cagliari
819,A,FAVILLI,Verona
311,A,LLORENTE,Udinese
2196,A,GALABINOV,Spezia
5012,A,MURIQI,Lazio
5310,A,HAUGE,Milan
652,A,KALINIC,Verona
4957,P,MONTIPO',Benevento
1843,P,RADU I.,Inter
41,P,MIRANTE,Roma
2179,P,SIRIGU,Torino
4996,P,PANDUR,Verona
2781,P,FUZATO,Roma
4881,D,CZYBORRA,Genoa
134,D,BARBA,Benevento
4925,D,CARBONI,Cagliari
1866,D,CEPPITELLI,Cagliari
4967,D,GOLEMIC,Crotone
2174,D,VENUTI,Fiorentina
2083,D,BIRASCHI,Genoa
418,D,GOLDANIGA,Genoa
15,D,MASIELLO,Genoa
295,D,ASAMOAH,Cagliari
4332,D,DEMIRAL,Juventus
2016,D,FAZIO,Roma
4331,D,IBANEZ,Roma
2141,D,DEPAOLI,Benevento
425,D,TERZI,Spezia
4495,D,KUMBULLA,Roma
4999,D,OUWEJAN,Udinese
5000,D,MAGALLAN,Crotone
4245,D,SMALLING,Roma
2265,C,SCHIATTARELLA,Benevento
1915,C,TELLO,Benevento
428,C,BENALI,Crotone
2659,C,DABO,Benevento
526,C,DUNCAN,Cagliari
118,C,RADOVANOVIC,Genoa
305,C,STURARO,Verona
184,C,BERNARDESCHI,Juventus
58,C,DIAWARA,Roma
4501,C,OBIANG,Sassuolo
556,C,BASELLI,Torino
2008,C,LINETTY,Torino
4449,C,TONALI,Milan
2121,C,MELEGONI,Genoa
633,C,FARES,Lazio
406,C,CALLEJON,Fiorentina
5328,C,GOJAK,Torino
4962,A,IMPROTA,Benevento
2762,A,KOUAME',Fiorentina
5009,A,RIVIERE,Crotone
2119,A,DEULOFEU,Udinese
5395,A,BRAAF,Udinese
1890,P,FESTA,Crotone
159,P,SEPE,Parma
4491,P,BERARDI A.,Verona
611,P,RAFAEL,Spezia
5289,P,CRESPI,Crotone
4520,P,LETICA,Sampdoria
4960,D,TUIA,Benevento
2285,D,BANI,Parma
578,D,DANILO LAR.,Bologna
2746,D,DIJKS,Bologna
2143,D,CUOMO,Crotone
84,D,MARRONE,Crotone
4407,D,IGOR,Fiorentina
365,D,ZAPATA C.,Genoa
327,D,PATRIC,Lazio
4976,D,KALULU,Milan
1864,D,BRUNO ALVES,Parma
141,D,LAURINI,Parma
4403,D,CHABOT,Spezia
45,D,FERRARI A.,Sampdoria
2355,D,MARLON,Sassuolo
454,D,CAPRADOSSI,Spezia
4983,D,FERRER,Spezia
4985,D,VIGNALI,Spezia
2288,D,N'KOULOU,Torino
4934,D,LOVATO,Verona
5307,D,VALENTI,Parma
5326,D,BUSI,Parma
2724,D,BUONGIORNO,Torino
374,C,POLI,Bologna
1871,C,DEIOLA,Cagliari
4975,C,ESCALANTE,Lazio
342,C,PAROLO,Lazio
27,C,GRASSI,Parma
2378,C,PASTORE,Roma
2334,C,LERIS,Sampdoria
2825,C,BOURABIA,Sassuolo
5319,C,SOHM,Parma
5329,C,MAKENGO,Udinese
5420,C,DARBOE,Roma
4500,A,DI CARMINE,Crotone
5391,A,KOKORIN,Fiorentina
5086,A,ZIRKZEE,Parma
1889,P,CORDAZ,Crotone
1930,P,PINSOGLIO,Juventus
220,P,UJKANI,Torino
5005,P,ZOET,Spezia
543,P,PADELLI,Inter
5320,P,PALEARI,Genoa
2170,P,MILINKOVIC-SAVIC V.,Torino
106,D,MATTIELLO,Spezia
4959,D,FOULON,Benevento
50,D,MBAYE,Bologna
2116,D,FARAGO',Bologna
2871,D,KLAVAN,Cagliari
2335,D,LUIZ FELIPE,Lazio
390,D,GHOULAM,Napoli
256,D,JUAN JESUS,Roma
262,D,SANTON,Roma
4979,D,AYHAN,Sassuolo
4984,D,RAMOS,Spezia
2171,D,LYANCO,Torino
224,D,DE MAIO,Udinese
4519,D,CETIN,Verona
423,D,RISPOLI,Crotone
5327,D,OSORIO,Parma
5353,D,BALOGH,Parma
5355,D,UDOGIE,Verona
5376,D,PASTINA,Benevento
5381,D,DIERCKX,Parma
5385,D,ZAGARITIS,Parma
5398,D,REYNOLDS,Roma
5399,D,ANTOV,Bologna
2087,D,OLIVERA M.,Fiorentina
272,C,MEDEL,Bologna
2076,C,ROG,Cagliari
2213,C,CASSATA,Genoa
4411,C,AGOUME,Spezia
333,C,CATALDI,Lazio
4287,C,LOBOTKA,Napoli
4921,C,ASKILDSEN,Sampdoria
5008,C,EDUARDO HENRIQUE,Crotone
172,C,BORJA VALERO,Fiorentina
4390,C,ANDERSON D.,Lazio
179,C,PETRICCIONE,Crotone
5318,C,TRAMONI M.,Cagliari
4370,C,PORTANOVA,Genoa
5346,C,ROJAS,Crotone
5397,C,KOVALENKO,Atalanta
5422,C,ZALEWSKI,Roma
2853,A,MONCINI,Benevento
123,A,INGLESE,Parma
4894,A,HARASLIN,Sassuolo
5352,A,DI SERIO,Benevento
5415,A,TRAORE' C.,Parma
2794,A,MICIN,Udinese
5439,A,KALLON,Genoa
2297,P,ROSSI F.,Atalanta
4955,P,GORI P.,Benevento
4956,P,MANFREDINI,Benevento
4883,P,BREZA,Bologna
40,P,DA COSTA,Bologna
1946,P,ARESTI,Cagliari
4929,P,CIOCCI,Cagliari
4351,P,BRANCOLINI,Fiorentina
318,P,MARCHETTI,Genoa
216,P,DONNARUMMA AN.,Milan
2845,P,CONTINI,Napoli
412,P,COLOMBI,Parma
4977,P,RAVAGLIA,Sampdoria
510,P,PEGOLO,Sassuolo
4867,P,TURATI,Sassuolo
4981,P,KRAPIKAS,Spezia
2790,P,ROSATI,Fiorentina
160,P,TATARUSANU,Milan
1921,P,ZIMA,Genoa
5304,P,BOER,Roma
4523,P,AVOGADRI,Sampdoria
5306,P,ALIA,Lazio
574,P,SCUFFET,Udinese
5333,P,GASPARINI,Udinese
2722,P,RAVAGLIA F.,Bologna
5338,P,RINALDI,Parma
5345,P,FARELLI,Roma
3,P,RADUNOVIC,Atalanta
1847,D,CALDARA,Atalanta
4888,D,SUTALO,Atalanta
2279,D,ROMAGNA,Sassuolo
4374,D,WALUKIEWICZ,Cagliari
1950,D,MAZZOTTA,Crotone
2728,D,PELLEGRINI LU.,Genoa
4366,D,ARMINI,Lazio
11,D,CONTI,Parma
4401,D,GABBIA,Milan
2168,D,MUSACCHIO,Lazio
393,D,LUPERTO,Crotone
550,D,MAKSIMOVIC,Napoli
2860,D,MALCUIT,Fiorentina
2801,D,IACOPONI,Parma
1868,D,MURRU,Torino
490,D,REGINI,Sampdoria
517,D,DELL'ORCO,Spezia
521,D,PELUSO,Sassuolo
4406,D,TRIPALDELLI,Cagliari
2169,D,RODRIGUEZ R.,Torino
4917,D,PRODL,Udinese
4997,D,RUEGG,Verona
630,D,SALA,Spezia
4945,D,CALAFIORI,Roma
4946,D,FRABOTTA,Juventus
5300,D,HICKEY,Bologna
5316,D,AMIONE,Verona
324,D,HOEDT,Lazio
1979,D,BARRECA,Fiorentina
2745,D,CALABRESI,Cagliari
4487,D,FERIGRA,Torino
5354,D,RUGGERI,Atalanta
5365,D,DRAGUSIN,Juventus
5379,D,ONGUENE',Genoa
5406,D,DI PARDO,Juventus
5408,D,GHISLANDI,Atalanta
5424,D,AMEY,Bologna
4919,C,BALDURSSON,Bologna
557,C,BENASSI,Verona
2855,C,VIEIRA,Verona
528,C,MAGNANELLI,Sassuolo
4986,C,ACAMPORA,Spezia
434,C,JAJALO,Udinese
4953,C,PALUMBO,Udinese
4896,C,MALDINI,Milan
2357,C,CYPRIEN,Parma
4349,C,NICOLUSSI CAVIGLIA,Parma
4353,C,MONTIEL,Fiorentina
5341,C,EBOA EBONGUE,Genoa
4465,C,FAGIOLI,Juventus
5421,C,CAMARA D.,Parma
5423,C,BOVE,Roma
5425,C,URBANSKI,Bologna
5438,C,KOSZNOVSZKY,Parma
2733,C,SANOGO,Benevento
5443,C,DIAMBO,Benevento
4368,A,JUWARA,Bologna
2743,A,SANTANDER,Bologna
2773,A,SPROCATI,Parma
447,A,LA GUMINA,Sampdoria
5011,A,DRAGUS,Crotone
5297,A,LUVUMBO,Cagliari
4938,A,MORO,Lazio
5361,A,RABBI,Bologna
5378,A,ODDEI,Sassuolo
5060,A,AKE' M.,Juventus
5414,A,KARAMOKO IS.,Sassuolo
5419,A,CORREIA,Juventus
5436,A,RAIMONDO,Bologna
